iter	Quantile:alpha=0.5
0	8.697913255
1	8.484824276
2	8.277354819
3	8.08594801
4	7.893480518
5	7.711448812
6	7.537297854
7	7.366027514
8	7.198277367
9	7.042828664
10	6.883964926
11	6.732328077
12	6.59476934
13	6.461507052
14	6.342380644
15	6.229030578
16	6.104797225
17	5.990187648
18	5.876852184
19	5.778095987
20	5.676209691
21	5.570477822
22	5.480145649
23	5.384328875
24	5.298918249
25	5.217600418
26	5.136841878
27	5.062810245
28	4.98865725
29	4.920982374
30	4.850743105
31	4.776930811
32	4.716199598
33	4.649015735
34	4.587894042
35	4.520826506
36	4.462936162
37	4.411376172
38	4.355898305
39	4.304479395
40	4.252692371
41	4.20035675
42	4.158778334
43	4.114820011
44	4.07143125
45	4.03055708
46	3.987056606
47	3.946054074
48	3.90662837
49	3.865302396
50	3.8304267
51	3.790383936
52	3.754537398
53	3.720449858
54	3.690230501
55	3.65985718
56	3.629715427
57	3.601801521
58	3.575606185
59	3.551558858
60	3.527615719
61	3.502527863
62	3.479970858
63	3.460084872
64	3.435761178
65	3.415593475
66	3.397851498
67	3.377740994
68	3.357284712
69	3.33850267
70	3.320188905
71	3.303837485
72	3.285069369
73	3.266921594
74	3.252888423
75	3.236784643
76	3.22071991
77	3.205178249
78	3.192100207
79	3.177294926
80	3.166435353
81	3.152447619
82	3.141139485
83	3.126869372
84	3.114505776
85	3.101529884
86	3.089378374
87	3.077367522
88	3.066697905
89	3.055894693
90	3.045719959
91	3.03573285
92	3.024096857
93	3.01421555
94	3.005042724
95	2.995776938
96	2.987232637
97	2.978836234
98	2.971191613
99	2.963337069
100	2.954476719
101	2.947034769
102	2.939966114
103	2.932593589
104	2.92526244
105	2.918411173
106	2.911769849
107	2.904928285
108	2.898321185
109	2.892599198
110	2.887091918
111	2.881383446
112	2.876083345
113	2.870676068
114	2.865369215
115	2.860631309
116	2.854955517
117	2.84891345
118	2.843379378
119	2.838327858
120	2.834505082
121	2.830016206
122	2.826309785
123	2.82202336
124	2.817391043
125	2.81274548
126	2.808652705
127	2.804824971
128	2.801412759
129	2.798181845
130	2.793758246
131	2.790549522
132	2.786730494
133	2.782437156
134	2.778400374
135	2.77510906
136	2.771968532
137	2.768407715
138	2.765230992
139	2.761959546
140	2.758982504
141	2.755618902
142	2.752978807
143	2.750371924
144	2.748015617
145	2.744871665
146	2.742068822
147	2.739545638
148	2.736689869
149	2.733903364
150	2.730968325
151	2.728359382
152	2.725268097
153	2.722898791
154	2.720911029
155	2.718665676
156	2.716288273
157	2.71465147
158	2.712309556
159	2.710236704
160	2.708511674
161	2.706371601
162	2.704260514
163	2.701425627
164	2.698636227
165	2.696012626
166	2.693909887
167	2.69194265
168	2.689675447
169	2.686872354
170	2.684792192
171	2.682776048
172	2.681120028
173	2.679798444
174	2.677790195
175	2.676030739
176	2.673871954
177	2.672017703
178	2.670339008
179	2.668637463
180	2.667102514
181	2.665277981
182	2.663741924
183	2.661039148
184	2.659355758
185	2.657949058
186	2.656620678
187	2.655276252
188	2.653386531
189	2.651422182
190	2.650164163
191	2.648935762
192	2.647367454
193	2.645424848
194	2.644449378
195	2.642766497
196	2.640798213
197	2.639412429
198	2.637604936
199	2.635656355
200	2.634412309
201	2.632691556
202	2.630784923
203	2.628955095
204	2.626962918
205	2.625680126
206	2.624220999
