iter	Passed	Remaining
0	5	5364
1	10	5257
2	15	5246
3	20	5183
4	25	5135
5	31	5158
6	36	5166
7	41	5140
8	46	5114
9	51	5098
10	56	5060
11	61	5063
12	66	5040
13	71	5067
14	77	5079
15	82	5048
16	87	5048
17	93	5076
18	98	5067
19	103	5055
20	108	5054
21	113	5036
22	118	5019
23	123	5006
24	128	4992
25	132	4980
26	137	4965
27	142	4946
28	147	4934
29	152	4940
30	157	4933
31	162	4922
32	167	4911
33	172	4899
34	177	4893
35	182	4882
36	187	4879
37	192	4871
38	197	4872
39	203	4881
40	208	4871
41	213	4868
42	218	4864
43	223	4853
44	228	4842
45	233	4835
46	238	4835
47	243	4829
48	248	4822
49	253	4824
50	258	4817
51	263	4807
52	268	4803
53	273	4800
54	280	4816
55	285	4810
56	290	4804
57	295	4799
58	300	4793
59	306	4799
60	312	4806
61	317	4809
62	323	4805
63	328	4800
64	333	4794
65	338	4790
66	344	4791
67	350	4798
68	355	4796
69	360	4791
70	365	4785
71	370	4779
72	376	4781
73	381	4776
74	386	4769
75	391	4761
76	396	4758
77	402	4757
78	407	4754
79	413	4752
80	418	4750
81	424	4749
82	429	4745
83	434	4738
84	439	4732
85	444	4728
86	450	4725
87	455	4720
88	460	4715
89	465	4708
90	470	4704
91	475	4696
92	480	4690
93	486	4684
94	490	4677
95	496	4672
96	501	4665
97	506	4659
98	511	4652
99	516	4646
100	521	4641
101	526	4635
102	531	4628
103	536	4623
104	541	4616
105	546	4612
106	552	4607
107	558	4610
108	563	4607
109	568	4600
110	573	4593
111	578	4586
112	583	4581
113	588	4574
114	594	4572
115	599	4567
116	604	4562
117	609	4557
118	615	4554
119	620	4549
120	627	4555
121	632	4552
122	637	4545
123	642	4540
124	647	4535
125	652	4528
126	658	4523
127	663	4517
128	668	4511
129	673	4506
130	678	4501
131	683	4496
132	688	4490
133	693	4485
134	698	4477
135	704	4472
136	709	4467
137	714	4462
138	719	4457
139	724	4451
140	729	4446
141	734	4439
142	739	4434
143	745	4433
144	751	4431
145	756	4427
146	761	4421
147	766	4415
148	772	4410
149	777	4404
150	782	4402
151	788	4397
152	793	4391
153	798	4387
154	803	4381
155	808	4373
156	813	4366
157	818	4360
158	823	4358
159	828	4352
160	833	4345
161	838	4337
162	843	4329
163	848	4323
164	853	4317
165	858	4310
166	862	4303
167	867	4296
168	872	4291
169	878	4287
170	883	4283
171	888	4276
172	893	4270
173	898	4266
174	903	4260
175	908	4254
176	913	4249
177	919	4244
178	924	4241
179	929	4235
180	934	4228
181	939	4223
182	944	4217
183	950	4213
184	955	4207
185	960	4202
186	965	4197
187	970	4191
188	975	4185
189	980	4179
190	985	4174
191	990	4169
192	997	4169
193	1002	4163
194	1007	4158
195	1012	4152
196	1017	4146
197	1022	4141
198	1027	4135
199	1032	4130
200	1037	4124
201	1042	4118
202	1047	4112
203	1052	4106
204	1057	4100
205	1062	4095
206	1067	4090
207	1072	4084
208	1078	4080
209	1083	4076
210	1088	4071
211	1093	4066
212	1099	4061
213	1104	4056
214	1109	4051
215	1114	4045
216	1119	4039
217	1124	4034
218	1129	4028
219	1134	4022
220	1139	4016
221	1144	4010
222	1149	4005
223	1155	4002
224	1160	3997
225	1165	3991
226	1170	3986
227	1176	3983
228	1181	3978
229	1186	3973
230	1191	3967
231	1196	3961
232	1201	3956
233	1206	3950
234	1211	3944
235	1216	3938
236	1221	3932
237	1226	3926
238	1231	3920
239	1236	3914
240	1241	3909
241	1246	3903
242	1251	3898
243	1256	3893
244	1261	3887
245	1266	3883
246	1272	3878
247	1277	3874
248	1283	3870
249	1288	3864
250	1293	3859
251	1298	3854
252	1303	3849
253	1308	3843
254	1313	3838
255	1318	3832
256	1323	3827
257	1328	3821
258	1333	3816
259	1339	3812
260	1344	3806
261	1349	3802
262	1354	3796
263	1359	3791
264	1365	3786
265	1369	3780
266	1374	3774
267	1379	3769
268	1384	3763
269	1389	3757
270	1394	3752
271	1399	3746
